Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
46764377,07/06/2020 12:46:58 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46761776,07/06/2020 12:47:04 AM,07/06/2020 12:50:57 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11230,AVENUE M,AVENUE M,AVENUE M,OCEAN AVENUE,AVENUE M,OCEAN AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:51:03 AM,14 BROOKLYN,,BROOKLYN,996733,164637,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61855818991716,-73.95503558617763,"(40.61855818991716, -73.95503558617763)"
46754948,07/06/2020 12:47:14 AM,07/06/2020 12:48:40 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10023,242 WEST   62 STREET,WEST   62 STREET,DEAD END,WEST END AVENUE,DEAD END,WEST END AVENUE,,NEW YORK,WEST   62 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:48:41 AM,07 MANHATTAN,1011540101,MANHATTAN,987439,221080,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.773489285879975,-73.9884863326715,"(40.773489285879975, -73.9884863326715)"
46760959,07/06/2020 12:47:17 AM,,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10452,1282 SHAKESPEARE AVENUE,SHAKESPEARE AVENUE,WEST  169 STREET,WEST  170 STREET,WEST  169 STREET,WEST  170 STREET,,BRONX,SHAKESPEARE AVENUE,,In Progress,,,,04 BRONX,2025060111,BRONX,1005687,245111,ONLINE,Unspecified,BRONX,,,,,,,,40.83942230342163,-73.92252645600027,"(40.83942230342163, -73.92252645600027)"
46758340,07/06/2020 12:47:28 AM,07/06/2020 12:57:01 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11236,AVENUE K,AVENUE K,AVENUE K,EAST   89 STREET,AVENUE K,EAST   89 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:57:03 AM,18 BROOKLYN,,BROOKLYN,1011197,171111,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63629576236747,-73.90290969188642,"(40.63629576236747, -73.90290969188642)"
46764532,07/06/2020 12:47:30 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46767314,07/06/2020 12:47:44 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11208,224 MC KINLEY AVENUE,MC KINLEY AVENUE,LINCOLN AVENUE,SHERIDAN AVENUE,LINCOLN AVENUE,SHERIDAN AVENUE,,BROOKLYN,MC KINLEY AVENUE,,In Progress,,,,05 BROOKLYN,3041810032,BROOKLYN,1020921,187188,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68038862326766,-73.8677866407027,"(40.68038862326766, -73.8677866407027)"
46759307,07/06/2020 12:48:02 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46764903,07/06/2020 12:48:19 AM,07/06/2020 01:06:44 AM,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,11435,107-10 WALTHAM STREET,WALTHAM STREET,107 AVENUE,SHORE AVENUE,107 AVENUE,SHORE AVENUE,,JAMAICA,WALTHAM STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:06:48 AM,12 QUEENS,4100860018,QUEENS,1039164,191867,ONLINE,Unspecified,QUEENS,,,,,,,,40.69313699822683,-73.8019755108669,"(40.69313699822683, -73.8019755108669)"
46763590,07/06/2020 12:48:29 AM,07/06/2020 12:57:50 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,10014,530 WEST STREET,WEST STREET,BEND,GANSEVOORT STREET,BEND,GANSEVOORT STREET,,NEW YORK,WEST STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:57:51 AM,02 MANHATTAN,,MANHATTAN,981562,208572,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73915818052885,-74.00969984037295,"(40.73915818052885, -74.00969984037295)"
46757679,07/06/2020 12:48:35 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46762528,07/06/2020 12:48:46 AM,07/06/2020 12:59:28 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,10453,HARRISON AVENUE,HARRISON AVENUE,HARRISON AVENUE,WEST BURNSIDE AVENUE,HARRISON AVENUE,WEST BURNSIDE AVENUE,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 04:59:31 AM,05 BRONX,,BRONX,1009127,250597,PHONE,Unspecified,BRONX,,,,,,,,40.85447072964993,-73.91007391430297,"(40.85447072964993, -73.91007391430297)"
46767995,07/06/2020 12:48:54 AM,07/06/2020 01:10:00 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,,11219,4321 15 AVENUE,15 AVENUE,43 STREET,44 STREET,43 STREET,44 STREET,,BROOKLYN,15 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:10:03 AM,12 BROOKLYN,3054300002,BROOKLYN,988585,170827,PHONE,Unspecified,BROOKLYN,,,,,,,,40.635556171715784,-73.98438112824842,"(40.635556171715784, -73.98438112824842)"
46761274,07/06/2020 12:48:59 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1176 WALTON AVENUE,WALTON AVENUE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,,BRONX,WALTON AVENUE,,In Progress,,,,04 BRONX,2024630006,BRONX,1006391,243198,PHONE,Unspecified,BRONX,,,,,,,,40.83416993768327,-73.91998850886783,"(40.83416993768327, -73.91998850886783)"
46757741,07/06/2020 12:49:06 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46765568,07/06/2020 12:49:37 AM,07/06/2020 01:06:50 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,657 EAST    3 STREET,EAST    3 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,,BROOKLYN,EAST    3 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:06:53 AM,12 BROOKLYN,,BROOKLYN,990900,171079,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.636246422572086,-73.97604000640392,"(40.636246422572086, -73.97604000640392)"
46757725,07/06/2020 12:49:38 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46763926,07/06/2020 12:49:51 AM,07/06/2020 01:23:21 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,1124 VINCENT AVENUE,VINCENT AVENUE,LAYTON AVENUE,FAIRMOUNT AVENUE,LAYTON AVENUE,FAIRMOUNT AVENUE,,BRONX,VINCENT AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:23:24 AM,10 BRONX,,BRONX,1033814,243757,ONLINE,Unspecified,BRONX,,,,,,,,40.83559290236996,-73.82088539013867,"(40.83559290236996, -73.82088539013867)"
46754770,07/06/2020 12:49:55 AM,07/06/2020 01:12:07 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11219,10 AVENUE,10 AVENUE,10 AVENUE,62 STREET,10 AVENUE,62 STREET,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:12:09 AM,10 BROOKLYN,,BROOKLYN,982491,169419,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63169239654113,-74.00633725598152,"(40.63169239654113, -74.00633725598152)"
46758506,07/06/2020 12:50:09 AM,07/06/2020 01:27:48 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,915 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,,NEW YORK,RIVERSIDE DRIVE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:27:50 AM,12 MANHATTAN,,MANHATTAN,999201,244762,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.83847776293534,-73.94596769914044,"(40.83847776293534, -73.94596769914044)"
46757724,07/06/2020 12:50:10 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46759542,07/06/2020 12:50:19 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,1686 GRAND CONCOURSE,GRAND CONCOURSE,EAST  173 STREET,EAST  174 STREET,EAST  173 STREET,EAST  174 STREET,,BRONX,GRAND CONCOURSE,,In Progress,,,,04 BRONX,2028230036,BRONX,1008727,246903,MOBILE,Unspecified,BRONX,,,,,,,,40.8443329147506,-73.9115333303724,"(40.8443329147506, -73.9115333303724)"
46764256,07/06/2020 12:50:22 AM,07/06/2020 12:59:08 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10453,171 WEST  179 STREET,WEST  179 STREET,LORING PLACE SOUTH,HENNESSY PLACE,LORING PLACE SOUTH,HENNESSY PLACE,,BRONX,WEST  179 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:59:11 AM,05 BRONX,2032280052,BRONX,1007974,250998,ONLINE,Unspecified,BRONX,,,,,,,,40.85557452799953,-73.9142403895642,"(40.85557452799953, -73.9142403895642)"
46767716,07/06/2020 12:50:35 AM,07/06/2020 01:21:57 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3658 BROADWAY,BROADWAY,WEST  151 STREET,WEST  152 STREET,WEST  151 STREET,WEST  152 STREET,,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:21:59 AM,09 MANHATTAN,1020830001,MANHATTAN,998750,241787,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.83031299980724,-73.94760402523791,"(40.83031299980724, -73.94760402523791)"
46766997,07/06/2020 12:50:42 AM,07/06/2020 01:12:23 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,649 EAST    5 STREET,EAST    5 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,,BROOKLYN,EAST    5 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:12:24 AM,12 BROOKLYN,3053890060,BROOKLYN,991408,171204,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63658912497956,-73.97420954657552,"(40.63658912497956, -73.97420954657552)"
46764629,07/06/2020 12:50:42 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46764628,07/06/2020 12:51:14 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46759030,07/06/2020 12:51:28 AM,07/06/2020 12:59:48 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10453,2259 CRESTON AVENUE,CRESTON AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,,BRONX,CRESTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:59:51 AM,05 BRONX,2031710031,BRONX,1011528,251532,ONLINE,Unspecified,BRONX,,,,,,,,40.857029932100616,-73.90139091361746,"(40.857029932100616, -73.90139091361746)"
46765916,07/06/2020 12:51:46 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46762470,07/06/2020 12:52:05 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10469,1380 GIVAN AVENUE,GIVAN AVENUE,FISH AVENUE,SEYMOUR AVENUE,FISH AVENUE,SEYMOUR AVENUE,,BRONX,GIVAN AVENUE,,In Progress,,,,12 BRONX,2047400005,BRONX,1026246,257649,PHONE,Unspecified,BRONX,,,,,,,,40.873761473687416,-73.8481475751813,"(40.873761473687416, -73.8481475751813)"
46767072,07/06/2020 12:52:09 AM,07/06/2020 01:13:42 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,DITMAS AVENUE,DITMAS AVENUE,DITMAS AVENUE,OCEAN PARKWAY,DITMAS AVENUE,OCEAN PARKWAY,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:13:46 AM,12 BROOKLYN,,BROOKLYN,991817,171038,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6361331503863,-73.9727360955703,"(40.6361331503863, -73.9727360955703)"
46759428,07/06/2020 12:52:18 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46767340,07/06/2020 12:52:29 AM,,MAYORâS OFFICE OF SPECIAL ENFORCEMENT,Mayorâs Office of Special Enforcement,NonCompliance with Phased Reopening,Business not in compliance,Store/Commercial,11201,216 DUFFIELD STREET,DUFFIELD STREET,WILLOUGHBY STREET,FULTON STREET,WILLOUGHBY STREET,FULTON STREET,,BROOKLYN,DUFFIELD STREET,,In Progress,,,,02 BROOKLYN,3001450026,BROOKLYN,988582,191245,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.691599059545375,-73.98437881826075,"(40.691599059545375, -73.98437881826075)"
46763798,07/06/2020 12:52:33 AM,07/06/2020 01:22:51 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10306,230 BARBARA STREET,BARBARA STREET,BEND,KENSICO STREET,BEND,KENSICO STREET,,STATEN ISLAND,BARBARA STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:22:56 AM,03 STATEN ISLAND,5044200039,STATEN ISLAND,946212,146527,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56877708147407,-74.13691279230845,"(40.56877708147407, -74.13691279230845)"
46761155,07/06/2020 12:52:48 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10466,600 EAST  229 STREET,EAST  229 STREET,BRONX BOULEVARD,CARPENTER AVENUE,BRONX BOULEVARD,CARPENTER AVENUE,,BRONX,EAST  229 STREET,,In Progress,,,,12 BRONX,2048220013,BRONX,1022258,264203,ONLINE,Unspecified,BRONX,,,,,,,,40.89176821082355,-73.86253048207054,"(40.89176821082355, -73.86253048207054)"
46756877,07/06/2020 12:52:48 AM,07/06/2020 01:08:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,1056 DEAN STREET,DEAN STREET,FRANKLIN AVENUE,BEDFORD AVENUE,FRANKLIN AVENUE,BEDFORD AVENUE,,BROOKLYN,DEAN STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:08:33 AM,08 BROOKLYN,3012110012,BROOKLYN,996762,186094,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67745295842001,-73.95489132618323,"(40.67745295842001, -73.95489132618323)"
46762867,07/06/2020 12:52:51 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46761941,07/06/2020 12:53:12 AM,07/06/2020 01:22:01 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,172 PATCHEN AVENUE,PATCHEN AVENUE,JEFFERSON AVENUE,HANCOCK STREET,JEFFERSON AVENUE,HANCOCK STREET,,BROOKLYN,PATCHEN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:22:06 AM,03 BROOKLYN,3016570049,BROOKLYN,1004611,189022,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68547507628859,-73.92658501693685,"(40.68547507628859, -73.92658501693685)"
46755003,07/06/2020 12:53:14 AM,07/06/2020 12:58:09 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,AVENUE J,AVENUE J,AVENUE J,EAST   84 STREET,AVENUE J,EAST   84 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 04:58:11 AM,18 BROOKLYN,,BROOKLYN,1009638,170907,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63574043175522,-73.90852754766141,"(40.63574043175522, -73.90852754766141)"
46762628,07/06/2020 12:53:23 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46760296,07/06/2020 12:53:46 AM,07/06/2020 01:13:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,48-07 58 LANE,58 LANE,48 AVENUE,LAUREL HILL BOULEVARD,48 AVENUE,LAUREL HILL BOULEVARD,,WOODSIDE,58 LANE,,Closed,,The Police Department reviewed your complaint and provided additional information below.,07/06/2020 05:13:20 AM,02 QUEENS,4023280028,QUEENS,1009909,208288,ONLINE,Unspecified,QUEENS,,,,,,,,40.738341858062434,-73.90740877952044,"(40.738341858062434, -73.90740877952044)"
46765102,07/06/2020 12:53:48 AM,07/06/2020 01:01:52 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11218,649 EAST    5 STREET,EAST    5 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,,BROOKLYN,EAST    5 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:01:56 AM,12 BROOKLYN,3053890060,BROOKLYN,991408,171204,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63658912497956,-73.97420954657552,"(40.63658912497956, -73.97420954657552)"
46755215,07/06/2020 12:53:49 AM,07/06/2020 01:42:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2545 GRAND CONCOURSE,GRAND CONCOURSE,EAST FORDHAM ROAD,EAST  192 STREET,EAST FORDHAM ROAD,EAST  192 STREET,,BRONX,GRAND CONCOURSE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/06/2020 05:42:59 AM,07 BRONX,2031670064,BRONX,1012909,253873,ONLINE,Unspecified,BRONX,,,,,,,,40.86345089348126,-73.89638863815979,"(40.86345089348126, -73.89638863815979)"
46766195,07/06/2020 12:53:54 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46758542,07/06/2020 12:53:57 AM,07/06/2020 01:31:06 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,526 WEST  173 STREET,WEST  173 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,,NEW YORK,WEST  173 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:31:08 AM,12 MANHATTAN,1021290038,MANHATTAN,1002090,246519,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84329485069756,-73.93552230124155,"(40.84329485069756, -73.93552230124155)"
46764995,07/06/2020 12:54:01 AM,07/06/2020 01:12:15 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11103,28-15 45 STREET,45 STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,,ASTORIA,45 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:12:18 AM,01 QUEENS,4007190020,QUEENS,1009207,217396,PHONE,Unspecified,QUEENS,,,,,,,,40.763343012292204,-73.90990816194214,"(40.763343012292204, -73.90990816194214)"
46766002,07/06/2020 12:54:27 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,,BRONX,EAST  231 STREET,,In Progress,,,,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,,,,,,,,40.89238451539139,-73.8592161325675,"(40.89238451539139, -73.8592161325675)"
46757481,07/06/2020 12:54:28 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contaminated,Restaurant/Bar/Deli/Bakery,11233,407 SARATOGA AVENUE,SARATOGA AVENUE,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,,BROOKLYN,SARATOGA AVENUE,,In Progress,,,,16 BROOKLYN,3014640001,BROOKLYN,1007302,184096,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6719477280632,-73.91689902271698,"(40.6719477280632, -73.91689902271698)"
46761732,07/06/2020 12:54:32 AM,07/06/2020 01:06:44 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11434,150-50 116 DRIVE,116 DRIVE,SUTPHIN BOULEVARD,155 STREET,SUTPHIN BOULEVARD,155 STREET,,JAMAICA,116 DRIVE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:06:48 AM,12 QUEENS,4122030007,QUEENS,1042013,187586,MOBILE,Unspecified,QUEENS,,,,,,,,40.68136853157842,-73.79173851848121,"(40.68136853157842, -73.79173851848121)"
46755193,07/06/2020 12:54:38 AM,07/06/2020 01:10:06 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10457,614 EAST  179 STREET,EAST  179 STREET,ARTHUR AVENUE,HUGHES AVENUE,ARTHUR AVENUE,HUGHES AVENUE,,BRONX,EAST  179 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/06/2020 05:10:08 AM,06 BRONX,2030680077,BRONX,1014134,248164,ONLINE,Unspecified,BRONX,,,,,,,,40.847777343041315,-73.89198533020792,"(40.847777343041315, -73.89198533020792)"
